#,关键词,法规,别称
1,营业税,《财政部国家税务总局关于个人金融商品买卖等营业税若干免税政策的通知》,
2,,《财政部 国家税务总局关于个人金融商品买卖等营业税若干免税政策的通知》,
3,,《营业税税目税率表》,
4,,《中华人民共和国税收征收管理法》,
5,,《中华人民共和国营业税条例实施细则》,
6,,《关于修改〈中华人民共和国增值税暂行条例实施细则〉和〈中华人民共和国营业税暂行条例实施细则〉的决定》,
7,,《中华人民共和国增值税暂行条例实施细则》,
8,,《中华人民共和国营业税暂行条例实施细则》,
9,,《中华人民共和国营业税暂行条例》,
10,,《营业税暂行条例实施细则》,
,,,
1,税收征管法,《税收征管法》,
2,,《征管法》,
3,,《行政处罚法》,
4,,《行政复议法》,
5,,《刑法》,
6,,《国务院关于修改和废止部分行政法规的决定》,
7,,《中华人民共和国税收征收管理法》,
8,,《中华人民共和国税收征收管理法实施细则》,
9,,《深化财税体制改革总体方案》,
10,,《关于修改和废止部分行政法规的决定》,
11,,《中国经营报》,
,,,
1,反垄断法,《中华人民共和国反垄断法（草案）》,
2,,《反不正当竞争法》,
3,,《反垄断法》,
,,,
1,营业税改增值税,《财政部 国家税务总局关于在全国开展交通运输业和部分现代服务业营业税改征增值税试点税收政策的通知》,
2,,《代开货物运输业增值税专用发票缴纳税款申报单》,
3,,《增值税专用发票最高开票限额申请单》,
4,,《开具红字货物运输业增值税专用发票申请单》,
5,,《开具红字货物运输业增值税专用发票通知单》,
6,,《通知单》,
7,,《增值税专用发票审核检查操作规程（试行）》,
8,,《丢失货物运输业增值税专用发票已报税证明单》,
9,,《国家税务总局关于修订〈增值税专用发票使用规定〉的通知》,
10,,《国家税务总局关于营业税改征增值税试点有关税收征收管理问题的公告》,
11,,《国家税务总局关于北京等8省市营业税改征增值税试点有关税收征收管理问题的公告》,
12,,《天津市营业税改征增值税试点方案》,
13,,《南漳县交通运输业和部分现代服务业营业税改征增值税纳税户信息移交方案》,
14,,《财政部 国家税务总局关于印发〈文化事业建设费征收管理暂行办法〉的通知》,
15,,《技巧》,
16,,《交通运输业和部分现代服务业营业税改征增值税试点实施办法》,
17,,《营业税改征增值税操作实务与技巧》,
18,,《营业税改征增值税试点方案》,
19,,《营改增扩围中物流企业财税经理人挑战观察》,
20,,《中国经营报》,
,,,
1,企业并购,《大不列颠百科全书》,
2,,《关于企业兼并的暂行办法》,
3,,《国有资产评估管理办法施行细则》,
4,,《企业兼并有关财务问题的暂行规定》,
5,,《上市公司治理准则》,
6,,《公司法》,
7,,《企业会计准则第2号———长期股权投资》,
8,,《合并会计报表暂行规定》,
9,,《企业会计准则第33号———合并财务报表》,
10,,《关于企业重组业务企业所得税处理若干问题的通知》,
11,,《税收征管法》,
12,,《税收征管法实施细则》,
13,,《企业所得税法实施条例》,
14,,《证券法》,
15,,《上市公司收购管理办法》,
16,,《华尔街日报》,
17,,《国务院关于促进企业兼并重组的意见》,
,,,
1,中华人民共和国税收征管法,,
,,,
1,企业国有资产监督管理暂行条例,《企业国有资产监督管理暂行条例》,
2,,《国务院关于废止和修改部分行政法规的决定》,
3,,《中华人民共和国公司法》,
4,,《国有企业监事会暂行条例》,
5,,《中国共产党章程》,
6,,《中华人民共和国工会法》,
7,,《中国工会章程》,
,,,
1,高新技术企业认定管理工作指引,《高新技术企业认定管理办法》,
2,,《认定办法》,
3,,《国家重点支持的高新技术领域》,
4,,《重点领域》,
5,,《高新技术企业认定管理工作指引》,
6,,《工作指引》,
7,,《中华人民共和国企业所得税法》,
8,,《企业所得税法》,
9,,《企业注册登记表》,
10,,《高新技术企业认定申请书》,
11,,《中华人民共和国企业所得税法实施条例》,
12,,《实施条例》,
13,,《中华人民共和国税收征收管理法》,
14,,《税收征管法》,
15,,《中华人民共和国税收征收管理法实施细则》,
16,,《实施细则》,
17,,《高新技术企业认定专家评价表》,
18,,《高新技术企业认定专家组综合评价表》,
,,,
1,境内外汇账户管理规定,,
,,,
1,职工代表大会,《全民所有制工业企业职工代表大会条例》,
2,,《工会法》,
3,,《工会企业法》,
,,,
1,行政处罚法,《中华人民共和国行政处罚法》,
2,,《行政处罚法》,
3,,《治安管理处罚法》,
,,,
1,企业所得税实施细则,,
,,,
1,增值税实施细则,,
,,,
1,特殊性税务处理,,
,,,
1,保密,《艳阳天》,
2,,《天上的歌》,
3,,《中华人民共和国保守国家秘密法》,
4,,《国家秘密载体出境许可证》,
5,,《〈中华人民共和国保守国家秘密法〉实施办法》,
6,,《发文稿纸》,
7,,《国家秘密文件、资料和其他物品标志的规定》,
,,,
1,资产并购,《国际会计准则》,
2,,《企业合并控制条例》,
,,,
1,招投标法,《中华人民共和国招标投标法实施条例》,
2,,《条例》,
3,,《中华人民共和国招标投标法》,
4,,《中华 人民共和国招标投标法实施条例》,
5,,《行政监察法》,
6,,《行政机关公务员处分条例》,
7,,《招标投标法实施条例》,
,,,
1,不可抗力,,
,,,
1,两免三减半,《中华人民共和国外商投资企业和外国企业所得税法》,
2,,《外商投资企业和外国企业所得税汇算清缴涉税事宜通知书》,
3,,《汇编》,
4,,《中华人民共和国外商投资企业和外国企业所得税法实施细则》,
5,,《国家税务总局关于外商投资企业获利年度的确定和减免税期限计算问题的通知》,
6,,《国家税务总局关于外商投资企业兼营生产性和非生产性业务如何享受税收优惠问题的通知》,
7,,《国家税务总局关于外商投资企业外方投资不到位有关企业所得税税务处理问题的通知》,
8,,《中华人民共和国外商投资企业和外国企业所得税税法》,
9,,《国务院关于实施企业所得税过渡优惠政策的通知》,
10,,《实施企业所得税过渡优惠政策表》,
,,,
1,并购方式,,
,,,
1,视同销售,《增值税暂行条例实施细则》,
2,,《企业会计准则讲解》,
3,,《财政部关于将自己的产品视同销售如何进行会计处理的复函》,
4,,《企业会计准则第7号——非货币性资产交换》,
5,,《企业会计准则第14号——收入》,
6,,《企业会计准则》,
,,,
1,税收协定,,国际税收协定
,,,
1,委托贷款,《贷款委托书》,
2,,《企业会计准则》,
3,,《企业会计准则讲解2010》,
4,,《企业会计准则应用指南附录——会计科目和主要账务处理》,
5,,《企业会计准则第14号——收入》,
6,,《营业税》,
7,,《贷款通则》,
8,,《委托贷款申请材料清单》,
9,,《担保合同》,
10,,《委托贷款合同》,
11,,《委托合同》,
12,,《借款合同》,
13,,《委托贷款借款合同》,
14,,《放款通知书》,
15,,《现场检查报告》,
16,,《贷款到（逾）期通知书》,
,,,
1,股权质押,《担保法》,股权质权
2,,《公司法》,
3,,《商事公司法》,
4,,《有限责任公司法》,
5,,《有限公司法》,
6,,《商法》,
7,,《股权出质设立申请表》,
8,,《股权出质设立登记申请书》,
9,,《指定代表或者共同委托代理人证明》,
10,,《股权出质变更登记申请书》,
11,,《股权出质注销登记申请书》,
12,,《股权出质撤销登记申请书》,
13,,《担保股权质押《担保法》,
14,,《物权法》,
15,,《关于外商投资企业投资者股权变更的若干规定》,
16,,《公司登记管理条例》,
17,,《民商法新问题与判解研究》,
18,,《外商投资企业投资者股权变更的若干规定》,
19,,《关于外商投资企业股权变更的若干规定》,
20,,《关于外商投资的公司审批登记管理法律适用若干问题的执行意见》,
21,,《民法典》,
22,,《民法》,
23,,《国有资产监督管理暂行条例》,
24,,《最高人民法院关于适用〈中华人民共和国担保法〉若干问题的解释》,
25,,《中华人民共和国公司法》,
26,,《中华人民共和国财政部关于上市公司国有股质押有关问题的通知》,
27,,《上市公司国有股质押备案表》,
28,,《最高人民法院关于适用担保法若干问题的解释》,
29,,《证券法》,
30,,《证券公司股票质押贷款管理办法》,
,,,
1,698,,
,,,
1,转口贸易,,
,,,
1,地区总部,,
,,,
1,卖出回购,,
,,,
1,加工贸易,《中华人民共和国海关加工贸易货物监管办法》,
2,,《登记手册》,
3,,《开设保证金台帐联系单》,
4,,《台帐登记通知单》,
5,,《批准证》,
6,,《加工生产能力证明》,
7,,《中华人民共和国合同法》,
8,,《异地加工申请表》,
9,,《营业执照》,
10,,《税务登记证》,
11,,《海关登记通知书》,
12,,《异地报关申请表》,
13,,《台帐核销联系单》,
14,,《台帐变更联系单》,
15,,《合同变更申请表》,
16,,《合同延期申请表》,
17,,《保税仓库货物入（出）审批表》,
18,,《保税仓库货物入（出）库单》,
19,,《加工贸易业务批准证》,
,,,
1,代扣代缴,,
,,,
1,保险兼业代理,《保险代理人资格证书》,
2,,《经营保险代理业务许可证（兼业）》,
3,,《保险兼业代理暂行管理办法》,
4,,《保险兼业代理许可证》,
5,,《个人住房贷款管理办法》,
6,,《中华人民共和国铁路法》,
7,,《旅行社投保旅行社责任保险规定》,
8,,《保险法》,
9,,《保险兼业代理机构经营许可证》,
,,,
1,股权收购,《关于企业股权投资业务若干所得税问题的通知》,
2,,《关于外商投资企业境内投资的暂行规定》,
3,,《暂行规定》,
4,,《对外商投资企业进出口货物监管和征免税办法》,
5,,《关于上市公司重大购买、出售、置换资产若干问题的通知》,
6,,《反垄断法》,
7,,《利用外资改组国有企业暂行规定》,
8,,《公司法》,
9,,《合资企业法》,
10,,《合同法》,
,,,
1,建设部 改制,,
,,,
1,代垫费用,,
,,,
1,非独立核算,,
,,,
1,农业设备,,
,,,
1,职工福利,《全国年节及纪念日放假办法》,
,,,
1,广告宣传,,
,,,
1,资本弱化,《中华人民共和国企业所得税法》,
2,,《美国经济评论》,
