#,关键词,法规,别称
1,营业税,《财政部国家税务总局关于个人金融商品买卖等营业税若干免税政策的通知》,
2,,《财政部 国家税务总局关于个人金融商品买卖等营业税若干免税政策的通知》,
3,,《营业税税目税率表》,
4,,《中华人民共和国税收征收管理法》,
5,,《中华人民共和国营业税条例实施细则》,
6,,《关于修改〈中华人民共和国增值税暂行条例实施细则〉和〈中华人民共和国营业税暂行条例实施细则〉的决定》,
7,,《中华人民共和国增值税暂行条例实施细则》,
8,,《中华人民共和国营业税暂行条例实施细则》,
9,,《中华人民共和国营业税暂行条例》,
10,,《营业税暂行条例实施细则》,
,,,
1,税收征管法,《税收征管法》,
2,,《征管法》,
3,,《行政处罚法》,
4,,《行政复议法》,
5,,《刑法》,
6,,《国务院关于修改和废止部分行政法规的决定》,
7,,《中华人民共和国税收征收管理法》,
8,,《中华人民共和国税收征收管理法实施细则》,
9,,《深化财税体制改革总体方案》,
10,,《关于修改和废止部分行政法规的决定》,
11,,《中国经营报》,
,,,
1,反垄断法,《中华人民共和国反垄断法（草案）》,
2,,《反不正当竞争法》,
3,,《反垄断法》,
,,,
