keyword,original terms,new terms,same
公司法,公司法,公司法,Y
劳动合同法,劳动 / 合同 / 法,劳动 / 合同法,N
合同法,合同 / 法,合同法,N
企业所得税,企业 / 所得税,企业 / 所得税,Y
增值税,增值税,增值税,Y
企业所得税法,企业 / 所得税 / 法,企业 / 所得税法,N
劳动法,劳动法,劳动法,Y
专利侵权,专利 / 侵权,专利 / 侵权,Y
个人所得税,个人 / 所得税,个人所得税,N
房产税,房产税,房产税,Y
增值税暂行条例,增值税 / 暂行 / 条例,增值税 / 暂行 / 条例,Y
营业税,营业税,营业税,Y
印花税,印花税,印花税,Y
股权转让,股权 / 转让,股权 / 转让,Y
刑法,刑法,刑法,Y
企业所得税法实施条例,企业 / 所得税 / 法 / 实施 / 条例,企业 / 所得税法 / 实施 / 条例,N
民事诉讼法,民事 / 诉讼 / 法,民事诉讼法,N
外商投资产业指导目录,外商 / 投资 / 产业 / 指导 / 目录,外商 / 投资 / 产业 / 指导 / 目录,Y
税收征管法,税收 / 征管法,税收 / 征管法,Y
土地增值税,土地 / 增值税,土地增值税,N
个人所得税法,个人 / 所得税 / 法,个人 / 所得税法,N
企业会计准则,企业 / 会计 / 准则,企业 / 会计 / 准则,Y
营业税暂行条例,营业税 / 暂行 / 条例,营业税 / 暂行 / 条例,Y
购物卡,购物卡,购物卡,Y
中华人民共和国合同法,中华 / 人民 / 共和国 / 合同 / 法,中华人民共和国 / 合同法,N
中华人民共和国企业所得税法,中华 / 人民 / 共和国 / 企业 / 所得税 / 法,中华人民共和国 / 企业 / 所得税法,N
物权法,物权法,物权法,Y
常设机构,常设 / 机构,常设 / 机构,Y
企业重组,企业 / 重组,企业重组,N
中华人民共和国税收征收管理法,中华 / 人民 / 共和国 / 税收 / 征收 / 管理 / 法,中华人民共和国 / 税收 / 征收 / 管理 / 法,N
民法通则,民法 / 通则,民法 / 通则,Y
外商投资,外商 / 投资,外商 / 投资,Y
商标法,商标法,商标法,Y
营改增,营 / 改增,营 / 改 / 增,N
增值税暂行条例实施细则,增值税 / 暂行 / 条例 / 实施 / 细则,增值税 / 暂行 / 条例 / 实施 / 细则,Y
融资租赁,融资 / 租赁,融资 / 租赁,Y
营业税改征增值税,营业税 / 改征 / 增值税,营业税 / 改 / 征 / 增值税,N
中华人民共和国刑法,中华 / 人民 / 共和国 / 刑法,中华人民共和国 / 刑法,N
反不正当竞争法,反 / 不 / 正当 / 竞争 / 法,反 / 不 / 正当 / 竞争法,N
外商投资企业,外商 / 投资 / 企业,外商 / 投资 / 企业,Y
特许权使用费,特许 / 权 / 使用费,特许权 / 使用费,N
专利法,专利法,专利法,Y
担保法,担保法,担保 / 法,N
中华人民共和国公司法,中华 / 人民 / 共和国 / 公司法,中华人民共和国 / 公司法,N
反垄断法,反 / 垄断 / 法,反垄断法,N
外商投资企业法,外商 / 投资 / 企业 / 法,外商 / 投资 / 企业法,N
高新技术企业,高新 / 技术 / 企业,高新技术 / 企业,N
并购,并购,并购,Y
商标,商标,商标,Y
境外投资,境外 / 投资,境外 / 投资,Y
房地产,房地产,房地产,Y
财税[2009]59号,财税 / 2009 / 59 / 号,财税59 / 号,N
税务登记管理办法,税务 / 登记 / 管理 / 办法,税务 / 登记 / 管理 / 办法,Y
内地和香港特别行政区关于对所得避免双重征税和防止偷漏税的安排,内地 / 和 / 香港 / 特别 / 行政区 / 关于 / 对 / 所得 / 避免 / 双重 / 征税 / 和 / 防止 / 偷 / 漏税 / 的 / 安排,内地 / 和 / 香港 / 特别 / 行政区 / 关于 / 对 / 所得 / 避免 / 双重 / 征税 / 和 / 防止 / 偷 / 漏税 / 的 / 安排,Y
预提所得税,预提 / 所得税,预 / 提 / 所得税,N
"自主创新, 政府采购",自主 / 创新 / 政府 / 采购,自主 / 创新 / 政府 / 采购,Y
企业会计制度,企业 / 会计 / 制度,企业 / 会计 / 制度,Y
证券法,证券法,证券法,Y
王某某盗窃罪案,王 / 某某 / 盗窃 / 罪案,王某 / 某 / 盗窃 / 罪案,N
外资企业法,外资 / 企业 / 法,外资 / 企业法,N
保险法,保险法,保险法,Y
会计准则,会计 / 准则,会计 / 准则,Y
劳务派遣,劳务 / 派遣,劳务 / 派遣,Y
商业贿赂,商业 / 贿赂,商业 / 贿赂,Y
股权转让所得,股权 / 转让 / 所得,股权 / 转让 / 所得,Y
企业所得税税前扣除办法,企业 / 所得税 / 税前 / 扣除 / 办法,企业 / 所得税 / 税 / 前 / 扣除 / 办法,N
网络发票,网络 / 发票,网络 / 发票,Y
印花税暂行条例,印花税 / 暂行 / 条例,印花税 / 暂行 / 条例,Y
税收征收管理法,税收 / 征收 / 管理 / 法,税收 / 征收 / 管理 / 法,Y
外国人在中国就业管理规定,外国人 / 在 / 中国 / 就业 / 管理 / 规定,外国人 / 在 / 中国 / 就业 / 管理 / 规定,Y
陈某某盗窃罪案,陈 / 某某 / 盗窃 / 罪案,陈某 / 某 / 盗窃 / 罪案,N
刑满释放,刑 / 满 / 释放,刑满释放,N
出口退税,出口 / 退税,出口 / 退税,Y
关于外国投资者并购境内企业的规定,关于 / 外国 / 投资者 / 并购 / 境内 / 企业 / 的 / 规定,关于 / 外国 / 投资者 / 并购 / 境内 / 企业 / 的 / 规定,Y
并购方式,并购 / 方式,并购 / 方式,Y
社会保险,社会 / 保险,社会保险,N
劳动合同,劳动 / 合同,劳动 / 合同,Y
上市,上市,上市,Y
信托,信托,信托,Y
代表处,代表 / 处,代表处,N
工伤保险条例,工伤 / 保险 / 条例,工伤保险 / 条例,N
合格境外机构投资者,合格 / 境外 / 机构 / 投资者,合格 / 境外 / 机构投资者,N
婚姻法,婚姻法,婚姻法,Y
侵权责任法,侵权 / 责任法,侵权 / 责任 / 法,N
公司登记管理条例,公司 / 登记 / 管理 / 条例,公司 / 登记 / 管理 / 条例,Y
刑事诉讼法,刑事 / 诉讼 / 法,刑事诉讼法,N
社会保险法,社会 / 保险法,社会 / 保险法,Y
开办费,开办费,开办费,Y
视同销售,视同 / 销售,视 / 同 / 销售,N
中华人民共和国增值税暂行条例,中华 / 人民 / 共和国 / 增值税 / 暂行 / 条例,中华人民共和国 / 增值税 / 暂行 / 条例,N
专利,专利,专利,Y
中华人民共和国劳动合同法,中华 / 人民 / 共和国 / 劳动 / 合同 / 法,中华人民共和国 / 劳动 / 合同法,N
契税,契税,契税,Y
李某盗窃罪案,李 / 某 / 盗窃 / 罪案,李某 / 盗窃 / 罪案,N
特许经营,特许 / 经营,特许 / 经营,Y
